cohort_month,cohort_index,cohort_size,active_customers,retention_pct
2016-09,0,1,1,100.0
2016-10,0,262,262,100.0
2016-10,6,262,1,0.38
2016-10,9,262,1,0.38
2016-10,11,262,1,0.38
2016-10,13,262,1,0.38
2016-10,15,262,1,0.38
2016-10,17,262,1,0.38
2016-10,19,262,2,0.76
2016-10,20,262,2,0.76
2016-12,0,1,1,100.0
2016-12,1,1,1,100.0
2017-01,0,717,717,100.0
2017-01,1,717,2,0.28
2017-01,2,717,2,0.28
2017-01,3,717,1,0.14
2017-01,4,717,3,0.42
2017-01,5,717,1,0.14
2017-01,6,717,3,0.42
2017-01,7,717,1,0.14
2017-01,8,717,1,0.14
2017-01,10,717,3,0.42
2017-01,11,717,1,0.14
2017-01,12,717,5,0.7
2017-01,13,717,3,0.42
2017-01,14,717,1,0.14
2017-01,15,717,1,0.14
2017-01,16,717,2,0.28
2017-01,17,717,3,0.42
2017-01,19,717,1,0.14
2017-02,0,1632,1632,100.0
2017-02,1,1632,3,0.18
2017-02,2,1632,5,0.31
2017-02,3,1632,2,0.12
2017-02,4,1632,7,0.43
2017-02,5,1632,2,0.12
2017-02,6,1632,4,0.25
2017-02,7,1632,3,0.18
2017-02,8,1632,2,0.12
2017-02,9,1632,3,0.18
2017-02,10,1632,2,0.12
2017-02,11,1632,5,0.31
2017-02,12,1632,2,0.12
2017-02,13,1632,3,0.18
2017-02,14,1632,2,0.12
2017-02,15,1632,1,0.06
2017-02,16,1632,1,0.06
2017-02,17,1632,3,0.18
2017-03,0,2502,2502,100.0
2017-03,1,2502,11,0.44
2017-03,2,2502,9,0.36
2017-03,3,2502,10,0.4
2017-03,4,2502,9,0.36
2017-03,5,2502,4,0.16
2017-03,6,2502,4,0.16
2017-03,7,2502,8,0.32
2017-03,8,2502,8,0.32
2017-03,9,2502,2,0.08
2017-03,10,2502,9,0.36
2017-03,11,2502,3,0.12
2017-03,12,2502,5,0.2
2017-03,13,2502,3,0.12
2017-03,14,2502,4,0.16
2017-03,15,2502,6,0.24
2017-03,16,2502,2,0.08
2017-03,17,2502,3,0.12
2017-04,0,2254,2254,100.0
2017-04,1,2254,14,0.62
2017-04,2,2254,5,0.22
2017-04,3,2254,4,0.18
2017-04,4,2254,6,0.27
2017-04,5,2254,6,0.27
2017-04,6,2254,8,0.35
2017-04,7,2254,7,0.31
2017-04,8,2254,7,0.31
2017-04,9,2254,4,0.18
2017-04,10,2254,6,0.27
2017-04,11,2254,2,0.09
2017-04,12,2254,1,0.04
2017-04,13,2254,1,0.04
2017-04,14,2254,2,0.09
2017-04,15,2254,2,0.09
2017-04,16,2254,3,0.13
2017-05,0,3458,3458,100.0
2017-05,1,3458,16,0.46
2017-05,2,3458,16,0.46
2017-05,3,3458,10,0.29
2017-05,4,3458,10,0.29
2017-05,5,3458,11,0.32
2017-05,6,3458,14,0.4
2017-05,7,3458,5,0.14
2017-05,8,3458,9,0.26
2017-05,9,3458,9,0.26
2017-05,10,3458,9,0.26
2017-05,11,3458,12,0.35
2017-05,12,3458,8,0.23
2017-05,13,3458,1,0.03
2017-05,14,3458,6,0.17
2017-05,15,3458,7,0.2
2017-06,0,3035,3035,100.0
2017-06,1,3035,15,0.49
2017-06,2,3035,12,0.4
2017-06,3,3035,13,0.43
2017-06,4,3035,10,0.33
2017-06,5,3035,13,0.43
2017-06,6,3035,11,0.36
2017-06,7,3035,7,0.23
2017-06,8,3035,4,0.13
2017-06,9,3035,6,0.2
2017-06,10,3035,9,0.3
2017-06,11,3035,11,0.36
2017-06,12,3035,5,0.16
2017-06,13,3035,5,0.16
2017-06,14,3035,8,0.26
