seller_id,total_orders,total_revenue,avg_delivery_days,late_rate_pct,cancel_rate_pct,composite_risk_score,risk_category
81783131d2a97c8d44d406a4be81b5d9,13,1782.54,7.0,7.69,38.46,84.61,High
b1b3948701c5c72445495bd161b83a4c,18,24699.19,23.4,50.00,11.11,72.22,High
973f21788dfab357250f69a8dcb7ddee,10,909.0,23.6,50.00,10.00,70.00,High
20b54c376b794ed028df09a3cd88e8dc,11,1342.95,21.1,18.18,18.18,54.54,Medium
7bcd7c5f8631701474db233ccf1c094b,11,666.0,14.4,9.09,18.18,45.45,Medium
4c8b8048e33af2bf94f2eb547746a916,23,2020.73,18.5,8.70,17.39,43.48,Medium
26e2c91ef821e1ff8985f408788fe35b,12,1649.4,26.1,41.67,0.00,41.67,Medium
5b581417df4480f632484ba681e53944,12,1790.6,18.4,25.00,8.33,41.66,Medium
c7fdb77fdbff3c41981bc52f787e959e,10,696.32,16.8,20.00,10.00,40.00,Medium
ffff564a4f9085cd26170f4732393726,20,1426.3,12.8,0.00,20.00,40.00,Medium
