cohort_month,month_number,active_customers,initial_customers,retention_pct
2016-09,0,1,1,100.0
2016-10,0,262,262,100.0
2016-10,6,1,262,0.38
2016-12,0,1,1,100.0
2016-12,1,1,1,100.0
2017-01,0,717,717,100.0
2017-01,1,2,717,0.28
2017-01,2,2,717,0.28
2017-01,3,1,717,0.14
2017-01,4,3,717,0.42
2017-01,5,1,717,0.14
2017-01,6,3,717,0.42
2017-02,0,1632,1632,100.0
2017-02,1,3,1632,0.18
2017-02,2,5,1632,0.31
2017-02,3,2,1632,0.12
2017-02,4,7,1632,0.43
2017-02,5,2,1632,0.12
2017-02,6,4,1632,0.25
2017-03,0,2502,2502,100.0
2017-03,1,11,2502,0.44
2017-03,2,9,2502,0.36
2017-03,3,10,2502,0.4
2017-03,4,9,2502,0.36
2017-03,5,4,2502,0.16
2017-03,6,4,2502,0.16
2017-04,0,2254,2254,100.0
2017-04,1,14,2254,0.62
2017-04,2,5,2254,0.22
2017-04,3,4,2254,0.18
2017-04,4,6,2254,0.27
2017-04,5,6,2254,0.27
2017-04,6,8,2254,0.35
2017-05,0,3458,3458,100.0
2017-05,1,16,3458,0.46
2017-05,2,16,3458,0.46
2017-05,3,10,3458,0.29
2017-05,4,10,3458,0.29
2017-05,5,11,3458,0.32
2017-05,6,14,3458,0.4
2017-06,0,3035,3035,100.0
2017-06,1,15,3035,0.49
2017-06,2,12,3035,0.4
2017-06,3,13,3035,0.43
2017-06,4,10,3035,0.33
2017-06,5,13,3035,0.43
2017-06,6,11,3035,0.36
2017-07,0,3752,3752,100.0
2017-07,1,20,3752,0.53
2017-07,2,13,3752,0.35
2017-07,3,8,3752,0.21
2017-07,4,10,3752,0.27
2017-07,5,8,3752,0.21
2017-07,6,12,3752,0.32
2017-08,0,4062,4062,100.0
2017-08,1,28,4062,0.69
2017-08,2,14,4062,0.34
2017-08,3,11,4062,0.27
2017-08,4,14,4062,0.34
2017-08,5,21,4062,0.52
2017-08,6,12,4062,0.3
2017-09,0,4001,4001,100.0
2017-09,1,28,4001,0.7
2017-09,2,22,4001,0.55
2017-09,3,11,4001,0.27
2017-09,4,18,4001,0.45
2017-09,5,9,4001,0.22
2017-09,6,9,4001,0.22
2017-10,0,4325,4325,100.0
2017-10,1,30,4325,0.69
2017-10,2,11,4325,0.25
2017-10,3,4,4325,0.09
2017-10,4,10,4325,0.23
2017-10,5,9,4325,0.21
2017-10,6,9,4325,0.21
2017-11,0,7070,7070,100.0
2017-11,1,40,7070,0.57
2017-11,2,26,7070,0.37
2017-11,3,12,7070,0.17
2017-11,4,12,7070,0.17
2017-11,5,13,7070,0.18
2017-11,6,8,7070,0.11
2017-12,0,5324,5324,100.0
2017-12,1,11,5324,0.21
2017-12,2,15,5324,0.28
2017-12,3,18,5324,0.34
2017-12,4,14,5324,0.26
2017-12,5,11,5324,0.21
2017-12,6,9,5324,0.17
2018-01,0,6845,6845,100.0
2018-01,1,23,6845,0.34
2018-01,2,25,6845,0.37
2018-01,3,20,6845,0.29
2018-01,4,20,6845,0.29
2018-01,5,11,6845,0.16
2018-01,6,12,6845,0.18
2018-02,0,6295,6295,100.0
2018-02,1,22,6295,0.35
2018-02,2,26,6295,0.41
2018-02,3,19,6295,0.3
2018-02,4,16,6295,0.25
2018-02,5,14,6295,0.22
2018-02,6,13,6295,0.21
2018-03,0,6773,6773,100.0
2018-03,1,27,6773,0.4
2018-03,2,20,6773,0.3
2018-03,3,20,6773,0.3
2018-03,4,8,6773,0.12
2018-03,5,8,6773,0.12
2018-04,0,6579,6579,100.0
2018-04,1,40,6579,0.61
2018-04,2,20,6579,0.3
2018-04,3,16,6579,0.24
2018-04,4,9,6579,0.14
2018-05,0,6504,6504,100.0
2018-05,1,34,6504,0.52
2018-05,2,17,6504,0.26
2018-05,3,12,6504,0.18
2018-06,0,5878,5878,100.0
2018-06,1,25,5878,0.43
2018-06,2,16,5878,0.27
2018-07,0,5955,5955,100.0
2018-07,1,30,5955,0.5
2018-08,0,6133,6133,100.0
