seller_id,total_orders,total_revenue,avg_delivery_days,late_rate_pct,cancel_rate_pct,composite_risk_score,risk_category
81783131d2a97c8d44d406a4be81b5d9,13,1782.54,7.0,7.69,38.46,84.61,High
b1b3948701c5c72445495bd161b83a4c,18,24699.19,23.4,50.00,11.11,72.22,High
973f21788dfab357250f69a8dcb7ddee,10,909.0,23.6,50.00,10.00,70.00,High
20b54c376b794ed028df09a3cd88e8dc,11,1342.95,21.1,18.18,18.18,54.54,Medium
7bcd7c5f8631701474db233ccf1c094b,11,666.0,14.4,9.09,18.18,45.45,Medium
4c8b8048e33af2bf94f2eb547746a916,23,2020.73,18.5,8.70,17.39,43.48,Medium
26e2c91ef821e1ff8985f408788fe35b,12,1649.4,26.1,41.67,0.00,41.67,Medium
5b581417df4480f632484ba681e53944,12,1790.6,18.4,25.00,8.33,41.66,Medium
c7fdb77fdbff3c41981bc52f787e959e,10,696.32,16.8,20.00,10.00,40.00,Medium
ffff564a4f9085cd26170f4732393726,20,1426.3,12.8,0.00,20.00,40.00,Medium
821fb029fc6e495ca4f08a35d51e53a5,28,19187.42,16.7,32.14,3.57,39.28,Low
2e3be8a987a30d7544dbbda6861cc14e,18,4430.84,14.5,5.56,16.67,38.90,Low
f76a3b1349b6df1ee875d1f3fa4340f0,24,4160.79,16.9,37.50,0.00,37.50,Low
ede0c03645598cdfc63ca8237acbe73d,46,2518.37,18.4,32.61,2.17,36.95,Low
ea6b12bf9ffe2bac34602ec631d97a47,11,2625.8,16.7,0.00,18.18,36.36,Low
d9e7e7778b32987280a6f2cb9a39c57d,11,722.5,18.5,36.36,0.00,36.36,Low
b0b346d3a89f5eb4c2968af3f083cd43,11,614.0,23.1,36.36,0.00,36.36,Low
02d35243ea2e497335cd0f076b45675d,14,5794.0,26.1,35.71,0.00,35.71,Low
0725b8c0f3f906e58f70cbe76b7c748c,17,2190.3,13.0,35.29,0.00,35.29,Low
835f0f7810c76831d6c7d24c7a646d4d,44,5130.0,18.0,29.55,2.27,34.09,Low
ec4608a1f76453166bb312b2968aeaf4,18,1181.75,15.2,22.22,5.56,33.34,Low
b19f3ca2ea475913750f25a5c37c8d8f,24,6202.91,18.4,25.00,4.17,33.34,Low
2a61c271b1ac763450d846849783e922,18,1516.76,19.1,22.22,5.56,33.34,Low
e64d65bc8dbec2accda90c58de5d1246,12,1678.8,13.4,33.33,0.00,33.33,Low
cb41bfbcbda0aea354a834ab222f9a59,12,4002.0,37.5,33.33,0.00,33.33,Low
